"12","Australia","ADB; ANZUS; APEC; ARF; ASEAN (dialogue partner); Australia Group; BIS; C; CD; CP; EAS; EBRD; EITI (implementing country); FAO; FATF; G-20; IAEA; IBRD; ICAO; ICC (national committees); ICRM; IDA; IEA; IFC; IFRCS; IHO; ILO; IMF; IMO; IMSO; Interpol; IOC; IOM; IPU; ISO; ITSO; ITU; ITUC (NGOs); MIGA; NEA; NSG; OECD; OPCW; OSCE (partner); Paris Club; PCA; PIF; SAARC (observer); SICA (observer); Sparteca; SPC; UN; UN Security Council (temporary); UNCTAD; UNESCO; UNHCR; UNMISS; UNMIT; UNRWA; UNTSO; UNWTO; UPU; WCO; WFTU (NGOs); WHO; WIPO; WMO; WTO; ZC"
"13","Austria","ADB (nonregional member); AfDB (nonregional member); Australia Group; BIS; BSEC (observer); CD; CE; CEI; CERN; EAPC; EBRD; ECB; EIB; EMU; ESA; EU; FAO; FATF; G-9; IADB; IAEA; IBRD; ICAO; ICC (national committees); ICRM; IDA; IEA; IFAD; IFC; IFRCS; IGAD (partners); ILO; IMF; IMO; Interpol; IOC; IOM; IPU; ISO; ITSO; ITU; ITUC (NGOs); MIGA; MINURSO; NEA; NSG; OAS (observer); OECD; OIF (observer); OPCW; OSCE; Paris Club; PCA; PFP; Schengen Convention; SELEC (observer); UN; UNCTAD; UNDOF; UNESCO; UNFICYP; UNHCR; UNIFIL; UNTSO; UNWTO; UPU; WCO; WFTU (NGOs); WHO; WIPO; WMO; WTO; ZC"
"14","Azerbaijan","ADB; BSEC; CD; CE; CICA; CIS; EAPC; EBRD; ECO; EITI (compliant country); FAO; GCTU; GUAM; IAEA; IBRD; ICAO; ICC (NGOs); ICRM; IDA; IDB; IFAD; IFC; IFRCS; ILO; IMF; IMO; Interpol; IOC; IOM; IPU; ISO; ITSO; ITU; ITUC (NGOs); MIGA; NAM; OAS (observer); OIC; OPCW; OSCE; PFP; SELEC (observer); UN; UN Security Council (temporary); UNCTAD; UNESCO; UNHCR; UNIDO; UNWTO; UPU; WCO; WFTU (NGOs); WHO; WIPO; WMO; WTO (observer)"
"15","Bahamas, The","ACP; AOSIS; C; Caricom; CDB; CELAC; FAO; G-77; IADB; IBRD; ICAO; ICRM; IDA; IFAD; IFC; IFRCS; ILO; IMF; IMO; IMSO; Interpol; IOC; IOM; ITSO; ITU; LAES; MIGA; NAM; OAS; OPANAL; OPCW; Petrocaribe; UN; UNCTAD; UNESCO; UNIDO; UNWTO; UPU; WCO; WHO; WIPO; WMO; WTO (observer)"
"16","Bahrain","ABEDA; AFESD; AMF; CAEU; CICA; FAO; G-77; GCC; IAEA; IBRD; ICAO; ICC (national committees); ICRM; IDA; IDB; IFC; IFRCS; IHO; ILO; IMF; IMO; IMSO; Interpol; IOC; IOM (observer); IPU; ISO; ITSO; ITU; ITUC (NGOs); LAS; MIGA; NAM; OAPEC; OIC; OPCW; PCA; UN; UNCTAD; UNESCO; UNIDO; UNWTO; UPU; WCO; WFTU (NGOs); WHO; WIPO; WMO; WTO"
"17","Bangladesh","ADB; ARF; BIMSTEC; C; CD; CICA (observer); CP; D-8; FAO; G-77; IAEA; IBRD; ICAO; ICC (national committees); ICRM; IDA; IDB; IFAD; IFC; IFRCS; IHO; ILO; IMF; IMO; IMSO; Interpol; IOC; IOM; IPU; ISO; ITSO; ITU; ITUC (NGOs); MIGA; MINURSO; MONUSCO; NAM; OIC; OPCW; PCA; SAARC; SACEP; UN; UNAMID; UNCTAD; UNESCO; UNHCR; UNIDO; UNIFIL; UNISFA; UNMIL; UNMISS; UNMIT; UNOCI; UNWTO; UPU; WCO; WFTU (NGOs); WHO; WIPO; WMO; WTO"
"18","Barbados","ACP; AOSIS; C; Caricom; CDB; CELAC; FAO; G-77; IADB; IBRD; ICAO; ICRM; IDA; IFAD; IFC; IFRCS; ILO; IMF; IMO; Interpol; IOC; ISO; ITSO; ITU; ITUC (NGOs); LAES; MIGA; NAM; OAS; OPANAL; OPCW; UN; UNCTAD; UNESCO; UNIDO; UPU; WCO; WFTU (NGOs); WHO; WIPO; WMO; WTO"
"19","Belarus","BSEC (observer); CBSS (observer); CEI; CIS; CSTO; EAEC; EAPC; EBRD; FAO; GCTU; IAEA; IBRD; ICAO; ICC (NGOs); ICRM; IDA; IFC; IFRCS; ILO; IMF; IMSO; Interpol; IOC; IOM; IPU; ISO; ITU; ITUC (NGOs); MIGA; NAM; NSG; OPCW; OSCE; PCA; PFP; SCO (dialogue member); UN; UNCTAD; UNESCO; UNIDO; UNIFIL; UNWTO; UPU; WCO; WFTU (NGOs); WHO; WIPO; WMO; WTO (observer); ZC"
"20","Belgium","ADB (nonregional members); AfDB (nonregional members); Australia Group; Benelux; BIS; CD; CE; CERN; EAPC; EBRD; ECB; EIB; EITI (implementing country); EMU; ESA; EU; FAO; FATF; G-9; G-10; IADB; IAEA; IBRD; ICAO; ICC (national committees); ICRM; IDA; IEA; IFAD; IFC; IFRCS; IGAD (partners); IHO; ILO; IMF; IMO; IMSO; Interpol; IOC; IOM; IPU; ISO; ITSO; ITU; ITUC (NGOs); MIGA; MONUSCO; NATO; NEA; NSG; OAS (observer); OECD; OIF; OPCW; OSCE; Paris Club; PCA; Schengen Convention; SELEC (observer); UN; UNCTAD; UNESCO; UNHCR; UNIDO; UNIFIL; UNRWA; UNTSO; UPU; WCO; WHO; WIPO; WMO; WTO; ZC"
"21","Belize","ACP; AOSIS; C; Caricom; CD; CDB; CELAC; FAO; G-77; IADB; IAEA; IBRD; ICAO; ICC (NGOs); ICRM; IDA; IFAD; IFC; IFRCS; ILO; IMF; IMO; Interpol; IOC; IOM; ITU; LAES; MIGA; NAM; OAS; OPANAL; OPCW; PCA; Petrocaribe; SICA; UN; UNCTAD; UNESCO; UNIDO; UPU; WCO; WHO; WIPO; WMO; WTO"
"22","Benin","ACP; AfDB; AU; CD; ECOWAS; Entente; FAO; FZ; G-77; IAEA; IBRD; ICAO; ICRM; IDA; IDB; IFAD; IFC; IFRCS; ILO; IMF; IMO; Interpol; IOC; IOM; IPU; ISO (correspondent); ITSO; ITU; ITUC (NGOs); MIGA; MONUSCO; NAM; OAS (observer); OIC; OIF; OPCW; PCA; UN; UNCTAD; UNESCO; UNHCR; UNIDO; UNISFA; UNMIL; UNMISS; UNOCI; UNWTO; UPU; WAEMU; WCO; WFTU (NGOs); WHO; WIPO; WMO; WTO"
"23","Bermuda","Caricom (associate); ICC (NGOs); Interpol (subbureau); IOC; ITUC (NGOs); UPU; WCO"
"24","Bhutan","ADB; BIMSTEC; CP; FAO; G-77; IBRD; ICAO; IDA; IFAD; IFC; IMF; Interpol; IOC; IOM (observer); ISO (correspondent); ITSO; ITU; NAM; OPCW; SAARC; SACEP; UN; UNCTAD; UNESCO; UNIDO; UNWTO; UPU; WCO; WHO; WIPO; WMO; WTO (observer)"
"25","Bolivia","CAN; CD; CELAC; FAO; G-77; IADB; IAEA; IBRD; ICAO; ICC (national committees); ICRM; IDA; IFAD; IFC; IFRCS; ILO; IMF; IMO; Interpol; IOC; IOM; IPU; ISO (correspondent); ITSO; ITU; LAES; LAIA; Mercosur (associate); MIGA; MINUSTAH; MONUSCO; NAM; OAS; OPANAL; OPCW; PCA; UN; UNASUR; UNCTAD; UNESCO; UNFICYP; UNIDO; Union Latina; UNISFA; UNMIL; UNMISS; UNOCI; UNWTO; UPU; WCO; WFTU (NGOs); WHO; WIPO; WMO; WTO"
"26","Bosnia and Herzegovina","BIS; CD; CE; CEI; EAPC; EBRD; FAO; G-77; IAEA; IBRD; ICAO; ICC (NGOs); ICRM; IDA; IFAD; IFC; IFRCS; ILO; IMF; IMO; IMSO; Interpol; IOC; IOM; IPU; ISO; ITSO; ITU; ITUC (NGOs); MIGA; MONUSCO; NAM (observer); OAS (observer); OIC (observer); OIF (observer); OPCW; OSCE; PFP; SELEC; UN; UNCTAD; UNESCO; UNIDO; UNWTO; UPU; WCO; WHO; WIPO; WMO; WTO (observer)"
"27","Botswana","ACP; AfDB; AU; C; CD; FAO; G-77; IAEA; IBRD; ICAO; ICRM; IDA; IFAD; IFC; IFRCS; ILO; IMF; Interpol; IOC; IOM; IPU; ISO; ITSO; ITU; ITUC (NGOs); MIGA; NAM; OPCW; SACU; SADC; UN; UNCTAD; UNESCO; UNIDO; UNWTO; UPU; WCO; WFTU (NGOs); WHO; WIPO; WMO; WTO"
"28","Brazil","AfDB (nonregional member); BIS; BRICS; CAN (associate); CD; CELAC; CPLP; FAO; FATF; G-15; G-20; G-24; G-77; IADB; IAEA; IBRD; ICAO; ICC (national committees); ICRM; IDA; IFAD; IFC; IFRCS; IHO; ILO; IMF; IMO; IMSO; Interpol; IOC; IOM; IPU; ISO; ITSO; ITU; ITUC (NGOs); LAES; LAIA; LAS (observer); Mercosur; MIGA; MINURSO; MINUSTAH; NAM (observer); NSG; OAS; OECD (Enhanced Engagement; OPANAL; OPCW; Paris Club (associate); PCA; SICA (observer); UN; UNASUR; UNCTAD; UNESCO; UNFICYP; UNHCR; UNIDO; UNIFIL; Union Latina; UNISFA; UNITAR; UNMIL; UNMISS; UNMIT; UNOCI; UNWTO; UPU; WCO; WFTU (NGOs); WHO; WIPO; WMO; WTO"
"29","British Virgin Islands","Caricom (associate); CDB; Interpol (subbureau); IOC; OECS; UNESCO (associate); UPU"
"30","Brunei","ADB; APEC; ARF; ASEAN; C; CP; EAS; G-77; IBRD; ICAO; ICC (NGOs); ICRM; IDA; IDB; IFRCS; ILO; IMF; IMO; IMSO; Interpol; IOC; ISO (correspondent); ITSO; ITU; NAM; OIC; OPCW; UN; UNCTAD; UNESCO; UNIFIL; UNWTO; UPU; WCO; WHO; WIPO; WMO; WTO"
